nome,idade,cpf,endereco,estado,data
Dr. Vitor Da Mota,48,789.423.615-28,"VIELA DE DA PAZ
MINASLANDIA
66289973 DA ROCHA DA MATA / PE",AMAZONAS,1975-05-17
Dr. Diogo Costela,36,962.153.748-73,"PASSARELA JOÃO LUCAS NOGUEIRA, 753
SÃO PEDRO
30597-524 GONÇALVES / PE",RIO DE JANEIRO,1987-09-28
Rafaela Rodrigues,80,578.129.034-60,"CAMPO VINICIUS SILVA, 27
LAGOINHA
89600340 OLIVEIRA / AC",AMAPÁ,1943-12-10
Vitor Hugo Da Conceição,25,716.394.582-55,"VIADUTO DE CASTRO, 65
JARDIM VITORIA
59934-260 LIMA / RR",TOCANTINS,1998-04-30
Ana Laura Caldeira,51,518.346.792-73,"ESTRADA DE ROCHA, 305
LOURDES
66547-572 FREITAS / PE",ALAGOAS,1972-10-28
Dra. Laura Silveira,95,472.815.960-49,"PÁTIO LOPES, 1
VARZEA DA PALMA
21960284 MOREIRA DO GALHO / AM",PIAUÍ,1928-12-23
Sr. Rafael Pereira,86,492.853.701-79,"RECANTO GUSTAVO PEREIRA, 77
SANTO ANTÔNIO
41583781 TEIXEIRA / PE",TOCANTINS,1937-06-21
Manuela Mendes,32,518.390.462-60,"LARGO KEVIN BARBOSA, 2
VILA DA ÁRIA
11922167 FARIAS / MG",PARÁ,1992-02-25
Igor Lopes,29,073.482.961-22,"RECANTO AZEVEDO
VILA CLORIS
93763674 ALVES DE GOIÁS / CE",SANTA CATARINA,1994-11-19
Marcelo Moreira,49,346.801.792-87,"TRECHO IGOR BARROS, 77
MARIANO DE ABREU
03314-220 MARTINS DO AMPARO / ES",PERNAMBUCO,1974-10-05
Thomas Costela,94,428.971.360-22,"ALAMEDA DE PINTO
POUSADA SANTO ANTONIO
23210876 SILVEIRA / RS",MINAS GERAIS,1930-03-08
Luiz Otávio Gonçalves,63,637.820.451-90,"TREVO REZENDE, 51
BELA VITORIA
18388-150 MENDES DE PORTO / MG",PARAÍBA,1960-10-10
Stella Da Costa,54,063.418.752-07,"ESTAÇÃO DE FREITAS, 32
CORUMBIARA
14711-167 TEIXEIRA / RR",CEARÁ,1969-12-25
Luana Da Cruz,29,083.527.619-86,"DISTRITO ROCHA
LUXEMBURGO
87202478 ARAÚJO / CE",MARANHÃO,1994-10-12
Maria Cecília Lima,27,132.968.450-89,"RECANTO SILVEIRA, 47
OLHOS D'ÁGUA
47019155 RAMOS / ES",RONDÔNIA,1996-12-02
Melissa Teixeira,70,642.987.103-78,"RESIDENCIAL DE PIRES, 28
LARANJEIRAS
90058-265 ALVES DE OLIVEIRA / RS",SANTA CATARINA,1953-11-03
Dr. Vinicius Pires,38,163.584.079-10,"DISTRITO DE LOPES, 397
ALTO DOS PINHEIROS
64452311 CALDEIRA DAS FLORES / MS",SÃO PAULO,1986-02-05
Luiz Miguel Farias,87,962.834.750-00,"FEIRA CARDOSO, 21
CONJUNTO MINAS CAIXA
66461-182 CARVALHO DE GOIÁS / RN",ALAGOAS,1936-11-03
Breno Correia,40,148.592.607-67,"CONJUNTO DANIEL FERNANDES, 403
GARÇAS
71034367 DA CONCEIÇÃO DO CAMPO / GO",MATO GROSSO DO SUL,1983-05-07
Laís Costela,58,306.471.852-53,"PARQUE MAITÊ SANTOS, 42
BOA VIAGEM
72176802 RIBEIRO ALEGRE / RS",SÃO PAULO,1966-01-18
Dr. Diego Da Mata,20,293.810.754-41,"QUADRA DE DA MOTA, 62
ALTO CAIÇARAS
27102-258 REZENDE DO GALHO / MG",SÃO PAULO,2003-08-22
Letícia Da Mota,30,852.671.409-02,"VIADUTO JESUS, 11
CONJUNTO JATOBA
20417-169 ALVES DE MONTEIRO / DF",RONDÔNIA,1993-05-24
Luna Ferreira,54,843.729.051-14,"ALAMEDA ANTHONY FOGAÇA, 11
MANTIQUEIRA
77508-379 ARAGÃO / RS",AMAPÁ,1970-01-25
Dr. Emanuel Silveira,29,430.615.728-80,"QUADRA DE FOGAÇA, 28
PANTANAL
51254-681 MONTEIRO / PI",PIAUÍ,1994-04-23
Lorena Sales,44,263.185.049-15,"FAZENDA CALDEIRA
SATELITE
32090552 FREITAS / AM",MARANHÃO,1979-12-26
Davi Da Mata,55,846.350.791-39,"VILA ALVES
JARDIM ATLÂNTICO
71862-679 COSTA / DF",DISTRITO FEDERAL,1969-02-19
Isabel Melo,75,748.691.235-09,"FEIRA ENRICO NOGUEIRA, 1
ITAIPU
30458-005 PEIXOTO / PB",MATO GROSSO,1948-12-28
Raul Oliveira,93,298.671.453-64,"RUA PEDRO MIGUEL DA LUZ, 95
NOSSA SENHORA DO ROSÁRIO
81008796 MOREIRA DO AMPARO / PA",AMAZONAS,1931-01-03
Levi Da Mata,61,192.507.348-32,"VILA DE DA MATA
CÔNEGO PINHEIRO 2ª SEÇÃO
25940-946 RODRIGUES / CE",PARÁ,1962-10-21
Heloísa Castro,62,587.410.632-44,"SÍTIO DE CARDOSO, 88
ACAIACA
38458223 DIAS / RS",RIO GRANDE DO NORTE,1961-05-15
Sra. Júlia Da Paz,37,046.725.893-74,"JARDIM MARIA SOPHIA FERREIRA, 95
VILA NOVA PARAÍSO
26195069 VIANA DE ROCHA / CE",PARÁ,1986-08-19
Luana Viana,26,213.679.850-21,"PRAÇA DE CASTRO, 980
ERNESTO NASCIMENTO
34433-095 ALMEIDA / SE",SERGIPE,1998-04-01
Sr. Renan Sales,22,364.790.582-83,"PRAÇA OLIVIA SILVEIRA, 49
NOVO DAS INDUSTRIAS
30053-926 REZENDE DE DUARTE / AC",ALAGOAS,2001-04-17
Caio Aragão,22,714.325.068-62,"ÁREA DE BARROS, 86
BOA ESPERANÇA
10087-478 FARIAS / RN",BAHIA,2001-11-19
Srta. Lavínia Ribeiro,75,263.019.854-51,"ALAMEDA GUSTAVO HENRIQUE GONÇALVES, 50
BEIJA FLOR
29914020 COSTA DE MINAS / RJ",SÃO PAULO,1948-11-19
Sofia Da Mata,21,806.539.147-84,"JARDIM DE LOPES, 7
PLANALTO
72162-664 DA LUZ / AM",SANTA CATARINA,2002-05-16
André Araújo,43,819.260.374-13,"ALAMEDA DE DA MOTA, 94
VILA PAQUETÁ
67514889 LIMA DO OESTE / CE",ACRE,1980-04-26
Nathan Azevedo,85,285.976.143-82,"LAGOA MILENA RAMOS, 4
CAIÇARA - ADELAIDE
27571-728 CARDOSO GRANDE / AM",RORAIMA,1939-02-12
Camila Teixeira,46,982.743.106-40,"SETOR DA CUNHA, 39
JARDIM MONTANHÊS
78862288 ROCHA / RJ",PARANÁ,1977-08-13
Srta. Clara Souza,25,510.347.682-71,"ÁREA PEIXOTO, 32
FLAVIO DE OLIVEIRA
00101-655 DUARTE DE MENDES / SE",SANTA CATARINA,1998-08-20
Yuri Nascimento,57,129.578.463-73,"VEREDA MATHEUS AZEVEDO, 2
SERRANO
64023-772 VIEIRA DE RIBEIRO / AC",ESPÍRITO SANTO,1966-09-28
Srta. Marcela Gonçalves,83,148.296.730-87,"PRAIA RAUL CAMPOS, 12
CONJUNTO PROVIDENCIA
48882013 AZEVEDO / CE",PARÁ,1940-11-03
João Ramos,50,936.270.418-87,"JARDIM ENZO DA PAZ, 47
VILA OURO MINAS
27148341 CAVALCANTI DE MINAS / PR",RIO GRANDE DO SUL,1973-08-28
Renan Rocha,42,720.384.569-92,"VALE OLIVEIRA, 22
NOVA SUÍÇA
87931-582 SALES / RS",MARANHÃO,1981-10-08
Sr. Caio Souza,50,453.618.092-33,"CONJUNTO MARIA VITÓRIA DA CUNHA, 59
SERRA DO CURRAL
73310638 DUARTE DO CAMPO / MG",PARAÍBA,1973-07-02
Clarice Farias,55,743.692.081-22,"ALAMEDA MARIA FERNANDA CASTRO, 87
MARAVILHA
46556-077 MARTINS / PI",RORAIMA,1968-12-22
Marcos Vinicius Jesus,72,597.862.304-00,"PRAÇA DE MORAES, 588
NOVA AMERICA
32071661 DA ROCHA DO SUL / PA",CEARÁ,1951-10-12
João Pedro Nunes,34,910.853.462-42,"JARDIM DE RAMOS, 69
VILA NOVA GAMELEIRA 3ª SEÇÃO
22927152 MARTINS GRANDE / PA",MATO GROSSO,1989-09-16
Levi Farias,45,659.421.730-52,"QUADRA MENDES, 42
VILA PINHO
14608-340 MOREIRA / GO",RIO GRANDE DO SUL,1978-12-03
Dr. Enzo Da Costa,40,791.654.308-75,"CAMPO MARCELA SILVEIRA, 66
ÁLVARO CAMARGOS
06681-952 ALVES DO GALHO / AM",SÃO PAULO,1983-05-07
Heloísa Alves,86,029.178.345-79,"FAZENDA DE MORAES, 637
BURACO QUENTE
54488894 FERREIRA DE MOREIRA / PR",PARAÍBA,1937-10-06
Luiz Henrique Da Mota,20,842.957.163-91,"RECANTO ALVES, 105
SAUDADE
04473467 DA MOTA DE MINAS / RR",RONDÔNIA,2004-02-17
Camila Caldeira,54,903.721.486-03,"LAGO JESUS, 71
FREI LEOPOLDO
96443895 DUARTE / MA",MATO GROSSO DO SUL,1969-04-23
Arthur Mendes,50,918.452.370-05,"ESPLANADA CAUÃ TEIXEIRA
JARDIM AMÉRICA
82077031 MONTEIRO DO GALHO / SP",RONDÔNIA,1973-12-23
João Felipe Campos,54,362.759.410-06,"PRAIA HEITOR CASTRO, 6
JARDIM LEBLON
74490880 DA PAZ DE NUNES / MS",MATO GROSSO,1970-03-28
Guilherme Azevedo,61,174.509.362-16,"VIELA BENJAMIN CAMPOS, 1
POMPÉIA
36240-367 MENDES DA PRATA / CE",DISTRITO FEDERAL,1962-07-24
Dra. Laura Cunha,46,364.701.829-50,"NÚCLEO CASTRO, 7
MARIA HELENA
76215-850 DUARTE / BA",RORAIMA,1977-12-22
Noah Moraes,55,108.237.569-12,"ESTRADA LUCAS GABRIEL CALDEIRA, 856
JOÃO PINHEIRO
66574452 CARDOSO / MG",GOIÁS,1969-04-03
Davi Lucca Lopes,33,260.158.347-90,"TRECHO FREITAS, 427
ALTO DOS PINHEIROS
16352-238 MOURA / AP",MARANHÃO,1990-11-27
Sophia Da Cruz,39,621.439.805-15,"VIA RIBEIRO
FLAVIO DE OLIVEIRA
85013933 LIMA DAS FLORES / PR",MATO GROSSO,1984-07-30
Igor Da Luz,46,740.681.529-85,"LAGO SILVA, 75
VILA OESTE
67901-491 CUNHA DA SERRA / AC",BAHIA,1977-12-16
Dr. Samuel Nascimento,86,692.581.734-73,"TRAVESSA DUARTE, 59
BRASIL INDUSTRIAL
48304188 MOREIRA DE MINAS / RO",MATO GROSSO,1937-07-30
Maria Fernanda Freitas,66,968.451.273-28,"FAVELA SARAH PORTO
CONJUNTO SÃO FRANCISCO DE ASSIS
82565112 DA ROSA DE GOIÁS / DF",TOCANTINS,1957-08-10
Eduarda Costa,28,206.795.138-68,"MORRO ENZO GABRIEL TEIXEIRA, 84
MIRTES
35827-828 NASCIMENTO / RS",DISTRITO FEDERAL,1995-10-31
Lorenzo Monteiro,43,069.471.258-20,"ÁREA DA MOTA, 13
MINAS CAIXA
62104258 BARBOSA DO SUL / AP",MATO GROSSO DO SUL,1980-07-16
Caroline Cardoso,51,618.307.245-17,"VIADUTO DE MOREIRA, 1
VERA CRUZ
02303138 GONÇALVES DO NORTE / DF",AMAZONAS,1972-09-08
Henrique Da Rocha,21,329.504.167-99,"NÚCLEO LUIZ GUSTAVO COSTELA, 99
JULIANA
43635569 PEIXOTO / SE",MINAS GERAIS,2003-01-09
Lucas Gabriel Oliveira,51,743.568.920-38,"VIA ARAÚJO
SÃO CRISTÓVÃO
08165-622 PEIXOTO DE DA ROCHA / SE",RIO GRANDE DO SUL,1972-08-04
Sr. Arthur Jesus,96,418.370.659-93,"LAGO DE CARDOSO
SANTA CECILIA
78099-314 SANTOS DO NORTE / MG",MATO GROSSO,1927-05-27
Marcos Vinicius Da Cunha,48,572.130.964-43,"VIADUTO DE CARDOSO
INCONFIDÊNCIA
16426-137 CASTRO / PA",AMAPÁ,1976-01-16
Antônio Nogueira,19,061.387.542-71,"QUADRA DE DA MATA, 49
OURO MINAS
00289438 CAVALCANTI DA PRATA / MT",PERNAMBUCO,2004-08-11
Sophia Monteiro,90,601.245.398-15,"NÚCLEO ARAÚJO, 155
LINDÉIA
82317-263 CAMPOS / PA",MINAS GERAIS,1933-10-22
Dr. Leandro Silva,56,497.058.612-85,"ESTAÇÃO SILVA, 18
SERRA
11636951 DAS NEVES DO AMPARO / AM",PERNAMBUCO,1967-12-07
Amanda Farias,99,185.243.670-08,"PRAIA LAVÍNIA MORAES, 29
CONJUNTO JATOBA
41571-037 DA LUZ / RJ",RIO DE JANEIRO,1924-07-31
Srta. Luna Peixoto,53,912.405.387-23,"FAZENDA RAFAELA COSTELA, 37
HAVAÍ
52291-254 ROCHA / CE",AMAPÁ,1970-12-14
Sr. Igor Campos,54,183.502.746-62,"FAZENDA FERREIRA, 849
LAGOA
49587-081 VIEIRA DO NORTE / AP",TOCANTINS,1969-08-17
Maria Sophia Correia,98,948.731.065-75,"RESIDENCIAL ALANA DIAS, 51
VITORIA
01961759 GOMES DE DA CRUZ / TO",TOCANTINS,1925-10-03
Bruno Da Cruz,22,293.415.687-73,"RUA EVELYN DA CUNHA, 2
ALTA TENSÃO 1ª SEÇÃO
88048-422 DA ROCHA DO AMPARO / ES",ESPÍRITO SANTO,2001-06-02
Amanda Cavalcanti,55,351.698.247-00,"FAZENDA DE DUARTE, 99
SÃO SEBASTIÃO
38375-389 PIRES / AC",RORAIMA,1968-12-13
Bruno Melo,58,721.469.053-52,"TREVO DE DA COSTA, 7
ESPLANADA
45022-514 FERNANDES DE COSTELA / AC",RORAIMA,1965-06-26
Dra. Elisa Nunes,35,875.013.249-05,"VALE ERICK MOREIRA, 48
VILA NOVA CACHOEIRINHA 2ª SEÇÃO
07868-934 DA CUNHA / AP",RIO GRANDE DO NORTE,1989-01-12
Calebe Ramos,59,942.816.307-40,"PARQUE DE MORAES, 36
GUTIERREZ
82171525 PEIXOTO DE FERNANDES / TO",RIO GRANDE DO SUL,1964-05-05
Sr. Arthur Moraes,80,306.927.841-87,"PASSARELA LIMA, 87
JATOBÁ
09721-169 VIANA ALEGRE / RJ",RORAIMA,1943-10-01
Júlia Silveira,73,913.476.508-57,"PÁTIO VITOR GABRIEL ROCHA
SÃO JOÃO BATISTA
91484973 PEREIRA DA PRATA / SC",RIO DE JANEIRO,1950-11-18
Sra. Isabelly Silva,34,732.568.049-00,"RODOVIA AGATHA LOPES, 7
VILA SÃO GABRIEL
31198992 DA LUZ / DF",PARÁ,1989-08-28
Dr. Otávio Azevedo,79,457.821.069-30,"AEROPORTO DE FERREIRA, 2
SANTA HELENA
28302071 OLIVEIRA DAS FLORES / CE",PERNAMBUCO,1944-11-09
Maria Cecília Aragão,99,264.571.809-49,"TREVO ARAGÃO, 535
SALGADO FILHO
51800-056 CARVALHO DA PRATA / GO",SÃO PAULO,1925-01-09
Noah Da Rosa,58,742.960.813-22,"AVENIDA FERREIRA, 7
ANTONIO RIBEIRO DE ABREU 1ª SEÇÃO
17090-502 RODRIGUES / DF",PERNAMBUCO,1965-05-02
Sra. Laura Azevedo,37,540.326.187-71,"VIADUTO MARCELO RAMOS
UNIVERSO
53602-558 CUNHA DO GALHO / SP",RIO GRANDE DO NORTE,1986-06-16
Dr. Francisco Moreira,24,702.483.165-08,"NÚCLEO SILVA, 7
JARAGUÁ
74430032 SILVEIRA DE GOIÁS / CE",RONDÔNIA,1999-08-25
Mariane Das Neves,44,912.546.308-05,"RODOVIA DE FREITAS, 782
PARQUE SÃO JOSÉ
53886812 DAS NEVES DAS FLORES / SC",PIAUÍ,1979-10-27
Enzo Monteiro,33,309.546.872-56,"QUADRA SILVEIRA, 76
JOÃO PAULO II
90482-858 REZENDE DOS DOURADOS / MG",PIAUÍ,1990-09-15
Diego Da Rocha,36,093.845.726-83,"CONJUNTO DA ROSA, 22
PINDURA SAIA
13568-214 RAMOS DA SERRA / MS",PIAUÍ,1988-01-24
Ana Laura Da Cruz,86,798.526.104-49,"PARQUE RODRIGUES
VILA DA AMIZADE
99639-698 COSTA / RO",ESPÍRITO SANTO,1937-04-28
Ana Sophia Gomes,44,384.961.725-46,"LAGOA PORTO, 44
UNIDAS
73111211 ALVES / GO",PERNAMBUCO,1979-07-27
Ana Laura Costa,52,502.176.894-85,"VILA SALES, 913
BELA VITORIA
24276968 MONTEIRO / SP",RIO GRANDE DO SUL,1971-08-17
Felipe Souza,55,187.950.346-84,"SETOR PEIXOTO, 47
PALMEIRAS
57575529 DA CRUZ / SE",PARÁ,1968-09-30
Luana Novaes,78,287.430.169-87,"PARQUE LUIZ GUSTAVO DA CONCEIÇÃO, 34
SANTA MARGARIDA
94925-425 RODRIGUES ALEGRE / RS",CEARÁ,1945-12-05
Sra. Yasmin Nogueira,48,360.925.841-15,"LAGO DE ROCHA, 482
BELMONTE
74471-918 ROCHA DA MATA / PE",GOIÁS,1975-10-29
Benício Melo,21,904.652.781-67,"RECANTO MAITÊ PEREIRA
VILA SUZANA PRIMEIRA SEÇÃO
94645-027 SILVA / DF",RIO GRANDE DO NORTE,2002-12-07
Daniela Aragão,58,726.304.851-53,"FEIRA OTÁVIO PEREIRA, 93
PIRAJA
78140-773 CORREIA / RR",PARAÍBA,1965-07-06
Davi Luiz Sales,44,740.692.138-13,"TRECHO JOÃO GABRIEL PIRES, 64
NOVA PAMPULHA
61230820 SOUZA DA SERRA / RS",AMAPÁ,1979-07-24
Milena Souza,85,904.358.126-70,"PRAÇA DE RIBEIRO, 9
SANTA INÊS
38053-049 AZEVEDO / SP",BAHIA,1938-10-08
Maria Eduarda Ferreira,74,438.256.190-60,"PASSARELA DE CALDEIRA
VILA SESC
50710-500 CUNHA DE DIAS / AP",RONDÔNIA,1949-09-28
Sr. Diogo Lima,29,302.846.957-00,"ESTRADA DANILO MONTEIRO
CONJUNTO CALIFÓRNIA II
38793-887 DA MATA ALEGRE / BA",MATO GROSSO,1994-12-06
Dr. Carlos Eduardo Araújo,39,496.802.735-47,"RODOVIA SOPHIA RODRIGUES, 88
VILA INDEPENDENCIA 2ª SEÇÃO
76814388 PIRES / RR",PARANÁ,1984-11-09
Marina Gomes,98,934.587.620-00,"LAGOA SOUZA
COPACABANA
16768543 MONTEIRO / ES",SANTA CATARINA,1925-12-25
Gustavo Henrique Duarte,23,254.130.968-60,"ÁREA ANA SOPHIA PEREIRA, 32
MINAS CAIXA
69026-029 CALDEIRA DO OESTE / TO",MINAS GERAIS,2000-05-29
Caio Ramos,27,832.941.657-73,"VIADUTO DE SALES, 92
BURACO QUENTE
13458-643 NUNES / AL",PARAÍBA,1996-11-06
Rafael Nunes,88,462.971.358-19,"NÚCLEO MONTEIRO, 504
SÃO BERNARDO
15990-096 PORTO / TO",MATO GROSSO,1935-04-10
Enzo Gabriel Cardoso,37,726.801.549-67,"NÚCLEO RIBEIRO
VILA NOVA CACHOEIRINHA 1ª SEÇÃO
13917300 FERREIRA DAS FLORES / PE",SÃO PAULO,1987-01-26
Davi Cardoso,18,065.781.243-90,"PRAÇA ANA JÚLIA REZENDE, 38
VILA COQUEIRAL
41709963 SILVEIRA / PA",RIO GRANDE DO SUL,2005-07-25
Daniel Pires,39,274.530.968-47,"AVENIDA BRUNA RODRIGUES, 724
DIAMANTE
12678-518 REZENDE DO GALHO / ES",PARAÍBA,1984-06-13
Brenda Da Mata,44,532.841.679-19,"PÁTIO ROCHA, 75
HAVAÍ
43098627 DA CUNHA / AC",CEARÁ,1980-02-29
Samuel Dias,38,852.910.634-24,"VIADUTO ENZO GABRIEL MOREIRA, 72
VILA REAL 2ª SEÇÃO
01069636 SALES DE GOIÁS / CE",RIO GRANDE DO NORTE,1985-11-17
Gustavo Henrique Da Costa,19,917.230.485-50,"RESIDENCIAL RIBEIRO, 60
FLAMENGO
74294090 RIBEIRO / RO",ALAGOAS,2005-03-08
Theo Fogaça,48,091.584.236-05,"TRAVESSA CARDOSO, 95
ALTA TENSÃO 1ª SEÇÃO
42836-344 LIMA / MT",ACRE,1975-06-26
Sra. Alexia Carvalho,24,483.106.527-71,"QUADRA LORENZO PIRES
VILA OLHOS D'ÁGUA
03485618 DA ROSA DE CORREIA / AC",RONDÔNIA,2000-03-31
Juliana Martins,84,432.807.956-56,"CAMPO DE SOUZA
VILA JARDIM SÃO JOSÉ
04692667 CARVALHO / RR",BAHIA,1939-06-04
Luiz Gustavo Da Rosa,85,280.753.914-97,"VIA DE DA PAZ, 5
DONA CLARA
30465-337 OLIVEIRA DE GOIÁS / AL",PARANÁ,1938-06-09
Gabriela Freitas,30,367.520.481-26,"TREVO CARVALHO, 9
GRAJAÚ
40077-715 MORAES DA SERRA / BA",RIO GRANDE DO NORTE,1994-03-10
Enzo Gabriel Vieira,22,812.564.079-76,"TRAVESSA NOVAES
BOA VISTA
29032951 ARAGÃO / TO",RIO DE JANEIRO,2002-01-28
Srta. Luna Nascimento,69,815.732.049-60,"PASSARELA DE NASCIMENTO, 916
JOÃO PAULO II
86360-200 DUARTE DO AMPARO / AL",RIO DE JANEIRO,1954-06-13
Sophie Da Mata,70,971.238.045-97,"AVENIDA DE ALMEIDA, 78
VILA ATILA DE PAIVA
41400947 DA CUNHA / AL",MARANHÃO,1953-04-10
Clarice Alves,22,973.846.520-65,"AVENIDA HELOÍSA COSTA
CABANA DO PAI TOMÁS
54742254 CAVALCANTI / AC",MATO GROSSO,2001-12-02
Catarina Rodrigues,84,138.640.975-84,"NÚCLEO FARIAS, 97
LOURDES
55915-124 GOMES DE SOUZA / RR",PARANÁ,1939-11-26
Antônio Vieira,89,017.236.854-53,"FAVELA DE LOPES, 473
LAGOINHA LEBLON
41398-890 PEIXOTO / PR",SERGIPE,1934-10-25
Dr. Nicolas Da Conceição,25,105.236.748-80,"QUADRA MARIANA COSTELA, 87
GRAJAÚ
64615642 FERREIRA / BA",RORAIMA,1998-06-04
Maria Alice Da Costa,88,290.738.654-92,"RUA CARDOSO, 76
OLHOS D'ÁGUA
25842688 BARROS ALEGRE / MA",AMAPÁ,1936-02-17
Sr. Lucca Martins,56,906.435.128-70,"PÁTIO PAULO DA ROSA, 93
BELVEDERE
57898-196 MELO / TO",TOCANTINS,1967-08-30
João Pedro Costa,68,532.940.718-41,"FEIRA CARDOSO
CONJUNTO MINAS CAIXA
88969-195 DA MATA / RN",CEARÁ,1955-09-12
Maitê Gonçalves,97,034.719.856-20,"DISTRITO GIOVANNA RODRIGUES, 37
MARIETA 3ª SEÇÃO
62839-349 DA MATA / PR",ACRE,1926-09-20
Ana Laura Ferreira,72,326.490.578-74,"ESTRADA DE RAMOS
GARÇAS
28169898 SANTOS DAS PEDRAS / RO",PARANÁ,1952-01-29
Sabrina Da Mata,30,172.548.960-02,"VIELA DE MORAES, 56
VILA MARIA
42762903 FOGAÇA DE GOIÁS / MS",RIO GRANDE DO SUL,1994-01-31
Alexandre Das Neves,93,183.904.625-24,"ÁREA DE NOVAES, 52
ITAPOA
66232412 FOGAÇA DO OESTE / ES",ACRE,1930-07-19
Isadora Da Cunha,54,471.928.063-31,"VIADUTO FREITAS, 622
JARDIM ATLÂNTICO
10686-144 DA ROCHA PAULISTA / PE",MINAS GERAIS,1969-08-31
Dr. Luigi Fernandes,72,834.265.197-55,"DISTRITO THOMAS PIRES, 77
BAIRRO DAS INDÚSTRIAS II
44279-855 DA CUNHA / MT",AMAPÁ,1951-07-16
Sr. Yago Cavalcanti,93,758.901.423-05,"ESTRADA MELO
VILA INDEPENDENCIA 3ª SEÇÃO
33664610 CARDOSO / AM",AMAPÁ,1931-03-01
Carolina Peixoto,63,396.720.418-96,"LOTEAMENTO DIAS, 21
CAMPONESA 1ª SEÇÃO
82741936 DA ROSA / RN",AMAZONAS,1960-06-26
Ana Lívia Porto,74,067.412.835-44,"COLÔNIA VIEIRA, 6
MILIONARIO
96648865 MORAES / SE",MATO GROSSO DO SUL,1949-09-26
Henrique Da Mata,33,896.724.305-74,"AEROPORTO VINICIUS REZENDE, 18
CONJUNTO SÃO FRANCISCO DE ASSIS
55527-291 DA PAZ DO CAMPO / PR",RIO DE JANEIRO,1990-12-25
Enrico Aragão,93,490.851.376-75,"PRAÇA ALMEIDA, 95
VILA NOVO SÃO LUCAS
69709-867 MORAES / AP",BAHIA,1930-06-30
Milena Cavalcanti,25,523.064.179-70,"TRECHO KEVIN CASTRO, 70
SÃO GERALDO
98131993 SALES / PR",TOCANTINS,1998-09-15
Davi Lucca Melo,96,731.984.025-14,"PASSARELA KAMILLY MOREIRA, 704
CARDOSO
41864-156 DA CUNHA / SP",GOIÁS,1928-02-22
Clarice Fernandes,87,192.763.485-73,"VEREDA JESUS, 7
ESPLANADA
50230404 TEIXEIRA VERDE / SP",PARÁ,1936-12-27
Dr. Luiz Fernando Das Neves,58,146.387.259-37,"VIADUTO DE MARTINS, 24
VILA ANTENA
55987-196 ARAÚJO DO AMPARO / RO",CEARÁ,1966-02-21
Caio Azevedo,73,428.759.361-82,"LARGO CARDOSO, 23
VILA NOVA GAMELEIRA 2ª SEÇÃO
29717727 FERREIRA / AL",SÃO PAULO,1951-03-04
Enrico Novaes,73,457.692.038-38,"VILA HELOÍSA BARBOSA, 666
CONJUNTO SÃO FRANCISCO DE ASSIS
19537340 FARIAS / RN",PARÁ,1950-11-08
Ana Clara Moreira,87,075.412.368-53,"RESIDENCIAL DE ARAGÃO
ANDIROBA
91004-368 CARDOSO / SC",PIAUÍ,1936-12-15
Enrico Ribeiro,26,965.734.108-66,"LOTEAMENTO LOPES, 2
VILA SATÉLITE
54279721 RAMOS DA PRATA / CE",PARANÁ,1998-02-24
Evelyn Aragão,85,548.372.061-07,"ESTRADA REBECA CALDEIRA, 440
MARÇOLA
11027-170 FREITAS GRANDE / GO",ESPÍRITO SANTO,1938-04-19
Thales Moreira,63,406.135.728-07,"QUADRA FARIAS
JARDIM GUANABARA
71294724 CALDEIRA / RO",RORAIMA,1960-07-31
Heitor Mendes,56,097.426.351-61,"LAGOA DE FARIAS
ALTA TENSÃO 2ª SEÇÃO
86838429 PIRES / AL",AMAZONAS,1968-01-13
Sarah Nascimento,40,938.574.026-10,"LARGO DE DA COSTA, 400
VILA JARDIM ALVORADA
20608-388 CARDOSO DE CARDOSO / CE",RONDÔNIA,1983-05-14
Sra. Yasmin Melo,18,510.274.968-49,"LOTEAMENTO ALMEIDA, 821
CONJUNTO SANTA MARIA
15401946 NUNES DE GOIÁS / TO",PERNAMBUCO,2005-07-22
Sr. Marcelo Costela,23,895.603.427-38,"CHÁCARA CLARICE DA COSTA, 135
CARDOSO
90569-230 DA LUZ VERDE / BA",PIAUÍ,2000-08-16
Maria Cecília Araújo,76,752.943.601-52,"DISTRITO NATHAN MELO, 3
UNIVERSITÁRIO
45685584 ALMEIDA / PA",MINAS GERAIS,1948-03-20
Enzo Gabriel Ribeiro,63,965.231.708-02,"RECANTO NUNES, 87
VILA UNIÃO
40623-455 MOURA / AP",RORAIMA,1960-06-20
Miguel Da Rosa,43,168.907.235-03,"ESPLANADA CARVALHO, 8
PAULO VI
43997-378 CORREIA / CE",GOIÁS,1980-04-24
Maria Vitória Ferreira,23,914.863.027-69,"LAGO LIMA, 6
PROVIDENCIA
64509-958 PORTO / SP",CEARÁ,2000-11-09
Sr. Vitor Gabriel Gomes,48,348.902.157-60,"VALE COSTELA, 49
JONAS VEIGA
14400-610 NOGUEIRA / MT",ALAGOAS,1975-11-29
Bianca Pinto,80,541.908.362-06,"LAGOA SALES, 43
VILA SANTA MONICA 2ª SEÇÃO
48899443 JESUS / AL",GOIÁS,1943-05-29
Igor Melo,97,519.307.648-39,"VIADUTO NOGUEIRA
GROTA
13502920 FERREIRA DO NORTE / RO",SÃO PAULO,1927-03-31
